Message,Label
rajipl favour pl convey birthday wish nimya pl today birthday,0
went ganesh dress shop,0
lol happen vega stay vega,0
r u sam p eachoth meet go hous,0
omg make wed chapel frontiervil get good stuff,0
ill get unless guy want come time sooner,0
poke man everyday teach canada abi say hi,0
would ip address test consid comput isnt minecraft server,0
show wot say could u c dust,0
velli good ye pleas,0
join uk horniest dog servic u sex nite sign follow instruct txt entri nytecalpmsgp,1
boy love u grl hogolo boy gold chain kodstini grl agalla boy necklac madstini grl agalla boy hogli mutai eerulli kodthini grl love u kano,0
brand new mobil music servic live free music player arriv shortli instal phone brows content top artist,1
want tell bad feel basic time text late need drug,0
sorri meet ill call later,0
nice talk pleas dont forget pix want see,0
yun buy school got offer plu,0
k sure rel home sm de pl,0
mani peopl seem special first sight remain special till last sight maintain till life end take cr da,0
sleepingand surf,0
neva grumbl sad lor hee buy tmr lor aft lunch still meetin lunch tmr neva hear fr lei got lot work ar,0
mm way railway,0
lara said loan ltgt,0
gibb unsoldmik hussey,0
sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sptyron,1
sorri go home first daddi come fetch later,0
hello beauti r u ok ive kinda ad row wiv walk pub want night wiv u miss u,0
uve bin award play instant cash call claim everi th player win min optout,1
haha got fast lose weight thk muz go month den got effect geelat go aust put bk e weight,0
respond,0
oh love soooo good hear omg miss much today im sorri problem provid thank tming,0
yo guess drop,0
mum went dentist,0
dnt wnt tlk wid u,0
account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt,0
go write msg put dictionari mode cover screen hand press ltgt gentli remov ur hand interest,0
univers southern california,0
im home pleas call,0
today accept dayu accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,0
friend got say he up order gram he got ltgt get,0
ok darlin supos ok worri muchi film stuff mate babysit call therexx,0
nojst chang tat,0
eastend tv quiz flower dot compar violet e tulip f lili txt e f chanc win cash wkentp,1
im work pleas call,0
uve select stay top british hotel noth holiday valu dial claim nation rate call bx swss,1
sent maga money yesterday oh,0
didnt hear,0
monthli password wap mobsicom use wap phone pc,1
wen get spiritu deep that great,0
say thank,0
free msg sorri servic order could deliv suffici credit pleas top receiv servic,1
she good wonder wont say hi she smile cope long distanc,0
dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year,1
u come back dinner rite dad ask confirm wif u,0
anyth lor toa payoh got place walk meh,0
win newest harri potter order phoenix book repli harri answer question chanc first among reader,1
sorri datoday wont come playi drive cla,0
weekend fine excus much decor,0
awesom minut,0
feb ltgt love u day send di ur valu frnd evn come back ull gt marri person u luv u ignor di u lose ur luv evr,0
fanci shag dointerest sextextukcom txt xxuk suzi txt cost per msg tnc websit x,1
hello madam,0
contact date servic someon know find call mobil landlin poboxldn,1
wan go c doctor,0
like spoil,0
how husband,0
hello darl today would love chat dont tell look like sexi,1
took mr owl lick,0
dont hesit know second time weak like keep notebook eat day anyth chang day sure noth,0
dear heroi leav qatar tonit apt opportunitypl keep touch ltemailgt kerala,0
welp appar retir,0
good night dear sleepwellamptak care,0
celebr bday els,0
would like see xxx pic hot nearli ban uk,1
yo around got car back,0
ever notic your drive anyon go slower idiot everyon drive faster maniac,1
japanes proverb one u none itu must indian version one let none itleav final kerala version one stop none make strike,0
come room cannot come hous co hous still messi haha,0
r still meet dinner tonight,0
god ask forgiv littl child gave love repli wonder fruit tree give hurt stone good night,0
good afternon love today hope good mayb interview wake miss babe passion kiss across sea,0
wish famili merri x ma happi new year advanc,0
dont pick call someth import tell hrishi,0
k give sec break ltgt cstore,0
u outbid simonwatson shinco dvd plyr bid visit sm acsmsreward end bid notif repli end,1
ball move lotwil spin last difficult bat,0
hi kate u give ring asap xxx,0
cant get da laptop matric card wif lei,0
said look pretti wif long hair wat thk he cut quit short leh,0
whenevr ur sad whenevr ur gray remembr im listn watevr u wanna say ju walk wid littl whileamp promis ill bring back ur smile,0
tomorrow go theatr come wherev u call tell come tomorrow,0
sens foot peni,0
sweet may may go u meet carlo gaug patti interest,0
realis busi guy im tri bother get exam outta way tri car gr day,0
want get laid tonight want real dog locat sent direct ur mob join uk largest dog network txting moan nyt eca pmsgp,1
know dad back,0
unni thank dear rechargerakhesh,0
u come n search tat vidnot finishd,0
good morn love go sleep wish great day full feel better opportun last thought babe love kiss,0
what bruv hope great break reward semest,0
guess got screwd,0
call youcarlo isar phone vibrat act might hear text,0
noi got rumour go buy apart chennai,0
privat account statement show unredeem sim point call identifi code expir,1
much torch ja,0
ive call hope lr malaria know miss guy miss bani big pl give love especi great day,0
r u contin,0
anyth lor u decid,0
yeah dont see,0
darren say dat u meet da ge den dun meet dinner co later u leav xy feel awkward den u meet lunch lor,0
home alway chat,0
anyth,0
got seventeen pound seven hundr ml hope ok,0
donat unicef asian tsunami disast support fund text donat ad next bill,1
today song dedic day song u dedic send ur valuabl frnd first rpli,0
today voda number end select receiv award hava match pleas call quot claim code standard rate app,1
feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,0
urgent pleas call abta complimentari spanish holiday cash await collect sae tc box po ez ppm,1
wondarful song,0
wan win meetgreet westlif u current tour unbreak untam unkempt text cost p std text,1
interest like,0
still otsid leu come morrow maga,0
congratul week competit draw u prize claim call b tcsstop sm ppm,1
lol would mom would fit tell whole famili crazi terribl,0
ill post lr class,0
cant talk nowi call candont keep call,0
talk atleast day otherwis miss best friend world shakespear shesil ltgt,0
still play gautham,0
wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,0
ltgt ish minut minut ago wtf,0
everi mondaynxt week vl complet,0
oh kafter placement ah,0
check realli miss see jeremiah great month,0
tonight yeah id,0
phone,0
shop lor rain mah hard leav orchard,0
pleas call custom servic repres freephon ampm guarante cash prize,1
thought put back box,0
ok thanx take care,0
way home long dri spell season would,0
could ask carlo could get anybodi els chip,0
correct work today,0
mani peopl seem special first sight remain special till last sight maintain till life end shja,0
that honeymoon outfit,0
hmmm thought said hour slave late punish,0
say hell give call friend got money he definit buy end week,0
urgent tri contact u today draw show prize guarante call land line claim c validhr,1
good even roger,0
wif famili book tour packag,0
gokila talk aha,0
opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,0
